titulo,preco,bairro,area,quartos,banheiros,vagas,finalidade,fonte,link
Oportunidade  Casa no bairro Antônio Cassimiro,380000.0,Antonio Cassimiro,200.0,3,2,2,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/oportunidade-casa-no-bairro-antonio-cassimiro-1277958026
Duplex à venda no Parque Massangano,330000.0,Cohab Sao Francisco,105.0,3,2,2,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/duplex-a-venda-no-parque-massangano-1433320176
Casa Dom Avelar,350000.0,Dom Avelar,150.0,4,2,5,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-dom-avelar-1497345238
Casa no Condomínio SummerVille,1800000.0,Fernando Idalino,200.0,3,2,1,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-no-condominio-summerville-1506997254
BEM RESIDENCIAL,231900.0,Cohab Sao Francisco,75.0,2,1,1,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/bem-residencial-1518640440
Casa no bairro Jardim Guararapes,380000.0,Cohab Sao Francisco,125.0,3,2,1,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-no-bairro-jardim-guararapes-1436234341
Casa no Padre Cícero (4 unidades disponíveis),295000.0,Dom Avelar,70.0,3,2,1,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-no-padre-cicero-4-unidades-disponiveis-1449867376
Edf. Santa Bárbara 2 - 24 unidades.,260000.0,Boa Esperanca,57.0,2,2,5,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/edf-santa-barbara-2-24-unidades-1496738506
Apartamento Residencial Luame,300000.0,Gercino Coelho,80.0,3,2,1,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/apartamento-residencial-luame-1497340367
Casa no Condomínio Prime,1200000.0,Cidade Universitaria,200.0,3,4,2,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-no-condominio-prime-1503625279
Casa  no Pedro Raimundo/Vale do Grande Rio,265000.0,Pedro Raimundo,105.0,3,2,1,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-no-pedro-raimundo-vale-do-grande-rio-1512512489
Casa Vale Dourado,500000.0,Joao De Deus,127.0,3,2,2,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-vale-dourado-1518096772
Casa à Venda  Loteamento Recife,600000.0,Loteamento Recife,200.0,3,2,3,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-a-venda-loteamento-recife-1429136513
Casa à venda no Rio Corrente,290000.0,Rio Corrente,140.0,3,2,1,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-a-venda-no-rio-corrente-1443684074
Casa Ouro Preto,450000.0,Ouro Preto,120.0,3,2,1,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-ouro-preto-1496660138
Casa à venda no Loteamento Recife,360000.0,Loteamento Recife,100.0,3,2,1,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-a-venda-no-loteamento-recife-1501138330
CASA Antônio Cassimiro,235000.0,Antonio Cassimiro,83.0,2,1,1,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-antonio-cassimiro-1503617811
